地名,センター,もえるごみ,もえないごみ,容器包装・資源物,古紙類,粗大ごみ
A木津,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A松浜,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A遠塚,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A森,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A向野,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A宇気,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A七窪,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
A宇野気,エコみらい河北,月 木,火1,火4,20140511 20140706 20140907 20141102 20150301,金2
B南町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B古宮町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B元町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B南新町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B流川町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B六軒町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B中町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B上北町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B北中町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B北新町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B岸川町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B桜井町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B下伊丹町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B上伊丹町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B東町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B旭町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B新旭町,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
B学園台,エコみらい河北,月 木,火2,20140420 20140525 20140615 20140720 20140817 20140914 20141019 20141116 20141214 20150118 20150215 20150315,20140525 20140720 20140914 20141116 20140315,金1
C浜北,エコみらい河北,火 金,水3,月1,20140406 20140601 20140803 20141005 20141207,木4
C秋浜,エコみらい河北,火 金,水3,月1,20140406 20140601 20140803 20141005 20141207,木4
C外日角,エコみらい河北,火 金,水3,月1,20140406 20140601 20140803 20141005 20141207,木4
C内日角,エコみらい河北,火 金,水3,月1,20140406 20140601 20140803 20141005 20141207,木4
